House,Duration,Peak,Volume,Outdoor_Events_x,Above_avg_vol,Above_avg_dur,Above_avg_peak,Outdoor_Events_y,Outdoor_User
12S1208,38890,1040.5499999999931,698.0500000000003,0,1,1,1,0,0
12S1209,40580,1092.049999999999,647.9900000000006,0,0,1,1,0,0
12S121,27810,589.1499999999988,373.64999999999895,0,0,0,0,0,0
12S1210,36250,822.1700000000006,952.66,0,1,1,1,0,0
12S1211,24140,567.8499999999966,426.1100000000003,0,0,0,0,0,0
12S1212,26690,587.8799999999968,568.8019999999997,0,0,0,0,0,0
12S1214,14630,433.52999999999764,229.2999999999997,0,0,0,0,0,0
12S1215,26260,864.3799999999936,278.8600000000001,0,0,0,1,0,0
12S1216,20640,561.3499999999981,622.9099999999996,0,0,0,0,0,0
12S1217,19450,403.76,503.90999999999985,0,0,0,0,0,0
12S1218,68820,1695.440000000029,1035.5599999999956,0,1,1,1,0,0
12S1219,58000,1303.4899999999973,1169.1799999999994,0,1,1,1,0,0
12S122,14150,283.25000000000017,382.21999999999986,0,0,0,0,0,0
12S1220,20490,421.7299999999982,439.6500000000001,0,0,0,0,0,0
12S1221,34900,978.2199999999945,730.4599999999995,0,1,0,1,0,0
12S1222,19650,577.4399999999998,340.6600000000004,0,0,0,0,0,0
12S1223,22430,529.6199999999968,379.5800000000002,0,0,0,0,0,0
12S1224,25820,659.6099999999996,525.3400000000006,0,0,0,0,0,0
12S1225,10950,354.2399999999998,256.9899999999999,0,0,0,0,0,0
12S1226,14660,493.9399999999994,355.9800000000001,0,0,0,0,0,0
12S1227,23750,630.0699999999969,614.7100000000003,0,0,0,0,0,0
12S1228,35510,895.7799999999937,618.4699999999995,0,0,0,1,0,0
12S1229,32430,832.8899999999952,532.7899999999998,0,0,0,1,0,0
12S123,35120,539.07,794.1500000000002,0,1,0,0,0,0
12S1231,7720,274.32999999999953,159.23999999999995,0,0,0,0,0,0
12S1232,34770,1035.3499999999924,793.8,0,1,0,1,0,0
12S1233,43150,1045.439999999995,700.0299999999988,0,1,1,1,0,0
12S1234,48000,1604.2600000000116,721.4500000000013,0,1,1,1,0,0
12S1236,40930,689.129999999996,785.3100000000007,0,1,1,0,0,0
12S1237,27300,822.2199999999947,571.7400000000008,0,0,0,1,0,0
12S1238,32740,516.1299999999976,821.2999999999998,0,1,0,0,0,0
12S1239,20950,627.0399999999971,427.13999999999976,0,0,0,0,0,0
12S124,61670,1094.2299999999968,627.990000000001,0,0,1,1,0,0
12S1240,25850,830.489999999994,379.9899999999997,0,0,0,1,0,0
12S1241,18010,247.17999999999938,282.3100000000002,0,0,0,0,0,0
12S1244,36960,918.48,784.8099999999994,0,1,1,1,0,0
12S1246,26770,518.2400000000025,530.7400000000011,0,0,0,0,0,0
12S1248,23890,526.9499999999967,377.6599999999999,0,0,0,0,0,0
12S125,13970,351.7600000000004,326.9599999999998,0,0,0,0,0,0
12S1255,33990,1188.9899999999989,423.2200000000004,0,0,0,1,0,0
12S1256,19310,593.4900000000007,516.7499999999997,0,0,0,0,0,0
12S1260,37780,359.47999999999905,735.0899999999996,0,1,1,0,0,0
12S1264,55220,920.8199999999962,1695.4799999999993,0,1,1,1,0,0
12S1265,43670,669.0699999999965,1269.7999999999993,0,1,1,0,0,0
12S1269,21340,450.4099999999971,489.98699999999985,0,0,0,0,0,0
12S127,19180,413.9499999999999,508.47999999999996,0,0,0,0,0,0
12S1270,12140,345.0499999999991,332.65000000000003,0,0,0,0,0,0
12S1272,57990,1129.5299999999975,1122.2199999999975,0,1,1,1,0,0
