House,Duration,Peak,Volume,Outdoor_Events_x,Above_avg_vol,Above_avg_dur,Above_avg_peak,Outdoor_Events_y,City,Region,Outdoor_User
273,47070,956.68,440.76,0,0,1,1,5,Fort Collins,Midwest,1
274,8050,288,89.28,0,0,0,0,0,Fort Collins,Midwest,0
275,80240,1214.18,1856.7,0,1,1,1,20,Fort Collins,Midwest,1
276,42770,1117.67,884.94,0,1,1,1,7,Fort Collins,Midwest,1
277,43230,1002.06,497.36,0,0,1,1,1,Fort Collins,Midwest,1
278,21540,525.08,509.91,0,0,0,0,1,Fort Collins,Midwest,1
279,34500,692.65,468.87,0,0,0,0,3,Fort Collins,Midwest,1
280,26160,882.11,453.77,0,0,0,1,4,Fort Collins,Midwest,1
281,30360,814.93,953.36,0,1,0,1,21,Fort Collins,Midwest,1
282,20040,485.5,436.23,0,0,0,0,7,Fort Collins,Midwest,1
283,23240,370.42,413.25,0,0,0,0,1,Fort Collins,Midwest,1
284,18200,636.26,338.34,0,0,0,0,0,Fort Collins,Midwest,0
285,58640,1340,832.29,0,1,1,1,5,Fort Collins,Midwest,1
286,38080,1073.94,849.93,0,1,1,1,4,Fort Collins,Midwest,1
287,52150,1135.42,483.55,0,0,1,1,23,Fort Collins,Midwest,1
288,33340,945.51,559.86,0,0,0,1,14,Fort Collins,Midwest,1
289,18610,337.13,484.02,0,0,0,0,3,Fort Collins,Midwest,1
290,26130,459.44,332.79,0,0,0,0,2,Fort Collins,Midwest,1
291,14960,109.6,272.89,0,0,0,0,0,Fort Collins,Midwest,0
295,56250,755.44,742.89,0,1,1,1,3,Fort Collins,Midwest,1
296,22010,479.92,524.85,0,0,0,0,11,Fort Collins,Midwest,1
299,31620,1078.13,614,0,0,0,1,23,Fort Collins,Midwest,1
300,65930,1080.12,1146.67,0,1,1,1,0,Fort Collins,Midwest,0
301,38390,1027.03,645.65,0,0,1,1,16,Fort Collins,Midwest,1
302,26970,901,557.23,0,0,0,1,0,Fort Collins,Midwest,0
304,46660,946.88,1420.87,0,1,1,1,12,Fort Collins,Midwest,1
308,34880,934.88,577.02,0,0,0,1,4,Fort Collins,Midwest,1
310,41850,852.57,1540.82,0,1,1,1,15,Fort Collins,Midwest,1
311,103440,2090.54,1430.33,0,1,1,1,66,Fort Collins,Midwest,1
313,25800,669.15,408.08,0,0,0,0,27,Fort Collins,Midwest,1
316,15020,460.7,246.16,0,0,0,0,7,Fort Collins,Midwest,1
318,13140,387.49,272.85,0,0,0,0,3,Fort Collins,Midwest,1
319,42800,747.89,849.32,0,1,1,1,11,Fort Collins,Midwest,1
321,32110,519.87,501.74,0,0,0,0,14,Fort Collins,Midwest,1
322,47560,1019.11,1238.21,0,1,1,1,72,Fort Collins,Midwest,1
